Project_Name,District,Tehsil/Town,Year_Sanctioned,No._of_Floors,Building_Type,Structure_Type,Foundation_Type,Cost-per-Sqft,Total_Cost (in Millions)
GGPS Bagah Darra,Haripur,Khanpur (48),08/04/2016,1,Education,RCC,Raft,3800,16.43
GPS Ranja,Haripur,Ghazi (47),07/27/2020,2,Education,,Raft,,24.32
GPS Sarrara,Haripur,Haripur (46),08/06/2020,2,Education,RCC,Raft,3800,24.74
GGPS Koka,,Haripur (46),11/09/2019,,,,,3800,
GGMS Pind Hashim Khan,Haripur,Haripur (46),11/26/2019,2,,RCC,,,34.25
GHS Kangra,Haripur,Khanpur (48),02/15/2018,,,,,3800,19.48
GGHS Nullah Shah,Haripur,Haripur (46),02/15/2018,,Education,RCC,Raft,3800,
GGHS Chamba Pind,,Ghazi (47),07/28/2020,,Education,RCC,Raft,3800,30.2
GGMS Jhamra,Haripur,Khanpur (48),03/20/2018,2,Education,,Raft,,
GMS Thalikote,,Khanpur (48),04/10/2019,2,,RCC,Raft,3800,41.62
GMS Kachi,Haripur,Haripur (46),08/24/2020,3,Education,RCC,,4200,50.44
GGHS Sarai Nimat Khan,Haripur,Haripur (46),07/04/2022,2,Education,RCC,Raft,3800,35
GHS Derwash U/C Derwash,Haripur,Haripur (46),05/27/2021,2,Education,RCC,Raft,3800,33.73
Reconstruction of GHS Karplian,,Haripur (46),03/18/2021,2,Education,RCC,,,33.73
Reconstruction of GHS Mang,Haripur,Ghazi (47),03/18/2021,2,Education,RCC,Raft,3800,42.18
Service Delivery Centre at Haripur,Haripur,Haripur (46),05/14/2025,2,Revenue,RCC,Raft,4500,41.02
Playground Ghazi,Haripur,Ghazi (47),12/31/2014,,Sports,RCC,Raft,,20.63
Playground Sarai Saleh,Haripur,Haripur (46),12/31/2014,1,Sports,RCC,Raft,2200,
GHS Kundi U/C Kundi,Haripur,Haripur (46),06/04/2021,2,Education,RCC,,3800,40.69
GHS Kuthera U/C Kothera,Haripur,Haripur (46),05/27/2021,2,,RCC,Raft,3800,
GHS T-Township U/C Turbela,Haripur,Ghazi (47),04/10/2019,2,Education,RCC,Raft,3800,35.1
SH: GMS Thalikote,Haripur,Khanpur (48),08/03/2022,2,Education,RCC,Raft,3800,
Govt College of Management Sciences Haripur,Haripur,Haripur (46),09/30/2022,2,Education,RCC,Raft,3800,
BHU Kangra,Haripur,Khanpur (48),06/24/2019,3,Health,RCC,Raft,5200,55.94
Upgradation of Category-D Hospital Ghazi,Haripur,Ghazi (47),10/14/2022,4,Health,RCC,Raft,,220.18
Service Delivery Centre at Ghazi,Haripur,Ghazi (47),09/04/2020,2,Revenue,RCC,Raft,4500,35.76
Renovation & Beautification of Catholic Ghazi,Haripur,Ghazi (47),01/18/2015,1,Religious,RCC,Raft,4500,2.99
Peter Church Tarbela,Haripur,Ghazi (47),03/07/2015,1,Religious,RCC,,4500,2.15
Construction of Rescue 1122 Station,Haripur,Haripur (46),05/22/2015,3,Rehabilitation,RCC,Raft,4500,66.49
Construction of Court Rooms,Haripur,Haripur (46),07/11/2015,2,Home Affairs,RCC,Raft,4500,35.69
GHS Dinghar,Haripur,Khanpur (48),09/03/2015,1,Education,RCC,Strip,,
GGHS Kot Najibullah,Haripur,Haripur (46),11/19/2015,2,Education,RCC,Raft,3800,43.78
GHS Khalabat No. 1,Haripur,Haripur (46),02/06/2016,2,Education,RCC,Strip,3100,
GHS Khalabat No. 2,Haripur,Haripur (46),04/17/2016,2,Education,RCC,Raft,3800,41.33
GGMS Kangra,Haripur,Haripur (46),06/29/2016,1,Education,RCC,Isolated,3200,28.03
GMS Shah Maqsood,Haripur,Haripur (46),10/12/2016,1,Education,RCC,Strip,3100,29.3
GPS Barki,Haripur,Khanpur (48),12/08/2016,1,Education,RCC,Strip,3100,
