S.No,Project_Name,District,Tehsil/Town,Year_Sanctioned,No._of_Floors,Building_Type,Structure_Type,Foundation_Type,Cost-per-Sqft,Total_Cost (in Millions),Cleaned_Year
0,GGPS Bagah Darra,Haripur,Khanpur (48),04/08/2016,1,Education,RCC,Raft,3800,16.43,2016
1,GPS Ranja,Haripur,Ghazi (47),07/27/2020,2,Education,RCC,Raft,3800,24.32,2020
2,GPS Sarrara,Haripur,Haripur (46),06/08/2020,2,Education,RCC,Raft,3800,24.74,2020
4,GGMS Pind Hashim Khan,Haripur,Haripur (46),11/26/2019,2,Education,RCC,Raft,3800,34.25,2019
5,GHS Kangra,Haripur,Khanpur (48),02/15/2018,2,Education,RCC,Raft,3800,19.48,2018
7,GGHS Chamba Pind,Haripur,Ghazi (47),07/28/2020,2,Education,RCC,Raft,3800,30.2,2020
9,GMS Thalikote,Haripur,Khanpur (48),10/04/2019,2,Education,RCC,Raft,3800,41.62,2019
10,GMS Kachi,Haripur,Haripur (46),08/24/2020,3,Education,RCC,Raft,4200,50.44,2020
11,GGHS Sarai Nimat Khan,Haripur,Haripur (46),04/07/2022,2,Education,RCC,Raft,3800,35,2022
12,GHS Derwash U/C Derwash,Haripur,Haripur (46),05/27/2021,2,Education,RCC,Raft,3800,33.73,2021
13,Reconstruction of GHS Karplian,Haripur,Haripur (46),03/18/2021,2,Education,RCC,Raft,3800,33.73,2021
14,Reconstruction of GHS Mang,Haripur,Ghazi (47),03/18/2021,2,Education,RCC,Raft,3800,42.18,2021
15,Service Delivery Centre at Haripur,Haripur,Haripur (46),05/14/2025,2,Revenue,RCC,Raft,4500,41.02,2025
16,Playground Ghazi,Haripur,Ghazi (47),12/31/2014,2,Sports,RCC,Raft,3800,20.63,2014
18,GHS Kundi U/C Kundi,Haripur,Haripur (46),04/06/2021,2,Education,RCC,Raft,3800,40.69,2021
20,GHS T-Township U/C Turbela,Haripur,Ghazi (47),10/04/2019,2,Education,RCC,Raft,3800,35.1,2019
23,BHU Kangra,Haripur,Khanpur (48),06/24/2019,3,Health,RCC,Raft,5200,55.94,2019
24,Upgradation of Category-D Hospital Ghazi,Haripur,Ghazi (47),10/14/2022,4,Health,RCC,Raft,3800,220.18,2022
25,Service Delivery Centre at Ghazi,Haripur,Ghazi (47),04/09/2020,2,Revenue,RCC,Raft,4500,35.76,2020
26,Renovation & Beautification of Catholic Ghazi,Haripur,Ghazi (47),01/18/2015,1,Religious,RCC,Raft,4500,2.99,2015
27,Peter Church Tarbela,Haripur,Ghazi (47),07/03/2015,1,Religious,RCC,Raft,4500,2.15,2015
28,Construction of Rescue 1122 Station,Haripur,Haripur (46),05/22/2015,3,Rehabilitation,RCC,Raft,4500,66.49,2015
29,Construction of Court Rooms,Haripur,Haripur (46),11/07/2015,2,Home Affairs,RCC,Raft,4500,35.69,2015
31,GGHS Kot Najibullah,Haripur,Haripur (46),11/19/2015,2,Education,RCC,Raft,3800,43.78,2015
33,GHS Khalabat No. 2,Haripur,Haripur (46),04/17/2016,2,Education,RCC,Raft,3800,41.33,2016
34,GGMS Kangra,Haripur,Haripur (46),06/29/2016,1,Education,RCC,Isolated,3200,28.03,2016
